Time;Consumption;;
23.6.2021 11.00;0,18;;
23.6.2021 12.00;0,15;;
23.6.2021 13.00;0,09;;
23.6.2021 14.00;0,13;;
23.6.2021 15.00;0,11;;
23.6.2021 16.00;0,16;;
23.6.2021 17.00;0,15;;
23.6.2021 18.00;0,17;;
23.6.2021 19.00;0,14;;
23.6.2021 20.00;0,16;;
23.6.2021 21.00;0,17;;
23.6.2021 22.00;1,96;;
23.6.2021 23.00;0,2;;
24.6.2021 0.00;0,19;;
24.6.2021 1.00;0,2;;
24.6.2021 2.00;0,19;;
24.6.2021 3.00;0,21;;
24.6.2021 4.00;0,35;;
24.6.2021 5.00;0,92;;
24.6.2021 6.00;0,18;;
24.6.2021 7.00;0,18;;
24.6.2021 8.00;0,19;;
24.6.2021 9.00;0,19;;
24.6.2021 10.00;0,16;;
24.6.2021 11.00;0,11;;
24.6.2021 12.00;0,09;;
24.6.2021 13.00;0,1;;
24.6.2021 14.00;0,1;;
24.6.2021 15.00;0,1;;
24.6.2021 16.00;0,1;;
24.6.2021 17.00;0,11;;
24.6.2021 18.00;0,1;;
24.6.2021 19.00;0,09;;
24.6.2021 20.00;0,1;;
24.6.2021 21.00;0,11;;
24.6.2021 22.00;1,21;;
24.6.2021 23.00;0,77;;
25.6.2021 0.00;0,1;;
25.6.2021 1.00;0,1;;
25.6.2021 2.00;0,13;;
25.6.2021 3.00;0,18;;
25.6.2021 4.00;0,2;;
25.6.2021 5.00;0,2;;
25.6.2021 6.00;0,21;;
25.6.2021 7.00;0,17;;
25.6.2021 8.00;0,11;;
25.6.2021 9.00;0,11;;
25.6.2021 10.00;0,11;;
25.6.2021 11.00;0,1;;
25.6.2021 12.00;0,08;;
25.6.2021 13.00;0,11;;
25.6.2021 14.00;0,1;;
25.6.2021 15.00;0,1;;
25.6.2021 16.00;0,11;;
25.6.2021 17.00;0,09;;
25.6.2021 18.00;0,09;;
25.6.2021 19.00;0,11;;
25.6.2021 20.00;0,11;;
25.6.2021 21.00;0,1;;
25.6.2021 22.00;0,58;;
25.6.2021 23.00;2,52;;
26.6.2021 0.00;0,12;;
26.6.2021 1.00;0,12;;
26.6.2021 2.00;0,11;;
26.6.2021 3.00;0,09;;
26.6.2021 4.00;0,1;;
26.6.2021 5.00;0,11;;
26.6.2021 6.00;0,11;;
26.6.2021 7.00;0,1;;
26.6.2021 8.00;0,09;;
26.6.2021 9.00;0,1;;
26.6.2021 10.00;0,1;;
26.6.2021 11.00;0,11;;
26.6.2021 12.00;0,09;;
26.6.2021 13.00;0,09;;
26.6.2021 14.00;0,11;;
26.6.2021 15.00;0,11;;
26.6.2021 16.00;0,1;;
26.6.2021 17.00;0,09;;
26.6.2021 18.00;0,1;;
26.6.2021 19.00;0,1;;
26.6.2021 20.00;0,1;;
26.6.2021 21.00;0,11;;
26.6.2021 22.00;2,03;;
26.6.2021 23.00;0,1;;
27.6.2021 0.00;0,11;;
27.6.2021 1.00;0,11;;
27.6.2021 2.00;0,11;;
27.6.2021 3.00;0,11;;
27.6.2021 4.00;0,1;;
27.6.2021 5.00;0,11;;
27.6.2021 6.00;0,11;;
27.6.2021 7.00;0,1;;
27.6.2021 8.00;0,1;;
27.6.2021 9.00;0,09;;
27.6.2021 10.00;0,11;;
27.6.2021 11.00;0,11;;
27.6.2021 12.00;0,1;;
27.6.2021 13.00;0,1;;
27.6.2021 14.00;0,09;;
27.6.2021 15.00;0,1;;
27.6.2021 16.00;0,1;;
27.6.2021 17.00;0,11;;
27.6.2021 18.00;0,19;;
27.6.2021 19.00;1,15;;
27.6.2021 20.00;0,28;;
27.6.2021 21.00;0,96;;
27.6.2021 22.00;3,02;;
27.6.2021 23.00;4,14;;
28.6.2021 0.00;3,41;;
28.6.2021 1.00;1,72;;
28.6.2021 2.00;0,14;;
28.6.2021 3.00;0,16;;
28.6.2021 4.00;0,14;;
28.6.2021 5.00;0,14;;
28.6.2021 6.00;0,27;;
28.6.2021 7.00;1,05;;
28.6.2021 8.00;0,21;;
28.6.2021 9.00;0,17;;
28.6.2021 10.00;0,15;;
28.6.2021 11.00;0,19;;
28.6.2021 12.00;0,18;;
28.6.2021 13.00;0,97;;
28.6.2021 14.00;1,44;;
28.6.2021 15.00;0,97;;
28.6.2021 16.00;0,53;;
28.6.2021 17.00;0,44;;
28.6.2021 18.00;0,4;;
28.6.2021 19.00;0,67;;
28.6.2021 20.00;0,61;;
28.6.2021 21.00;0,37;;
28.6.2021 22.00;1,54;;
28.6.2021 23.00;3,63;;
29.6.2021 0.00;3,64;;
29.6.2021 1.00;3,46;;
29.6.2021 2.00;0,99;;
29.6.2021 3.00;0,39;;
29.6.2021 4.00;0,29;;
29.6.2021 5.00;0,26;;
29.6.2021 6.00;0,38;;
29.6.2021 7.00;0,66;;
29.6.2021 8.00;1,15;;
29.6.2021 9.00;1,18;;
29.6.2021 10.00;0,71;;
29.6.2021 11.00;2,51;;
29.6.2021 12.00;1,16;;
29.6.2021 13.00;0,91;;
29.6.2021 14.00;0,93;;
29.6.2021 15.00;0,94;;
29.6.2021 16.00;1,4;;
29.6.2021 17.00;0,36;;
29.6.2021 18.00;0,39;;
29.6.2021 19.00;0,34;;
29.6.2021 20.00;0,31;;
29.6.2021 21.00;0,34;;
29.6.2021 22.00;2,48;;
29.6.2021 23.00;3,47;;
30.6.2021 0.00;3,35;;
30.6.2021 1.00;2,25;;
30.6.2021 2.00;0,24;;
30.6.2021 3.00;0,95;;
30.6.2021 4.00;0,22;;
30.6.2021 5.00;0,15;;
30.6.2021 6.00;0,15;;
30.6.2021 7.00;0,26;;
30.6.2021 8.00;0,72;;
30.6.2021 9.00;1,12;;
30.6.2021 10.00;0,61;;
30.6.2021 11.00;1;;
30.6.2021 12.00;0,16;;
30.6.2021 13.00;0,15;;
30.6.2021 14.00;0,15;;
30.6.2021 15.00;0,16;;
30.6.2021 16.00;0,64;;
30.6.2021 17.00;0,53;;
30.6.2021 18.00;0,51;;
30.6.2021 19.00;0,44;;
30.6.2021 20.00;1,19;;
30.6.2021 21.00;0,39;;
30.6.2021 22.00;0,74;;
30.6.2021 23.00;3,47;;
1.7.2021 0.00;3,47;;
1.7.2021 1.00;3,35;;
1.7.2021 2.00;0,77;;
1.7.2021 3.00;0,17;;
1.7.2021 4.00;0,17;;
1.7.2021 5.00;0,78;;
1.7.2021 6.00;0,65;;
1.7.2021 7.00;0,48;;
1.7.2021 8.00;0,25;;
1.7.2021 9.00;1,25;;
1.7.2021 10.00;1,36;;
1.7.2021 11.00;0,31;;
1.7.2021 12.00;1,09;;
1.7.2021 13.00;0,49;;
1.7.2021 14.00;0,73;;
1.7.2021 15.00;1,16;;
1.7.2021 16.00;0,92;;
1.7.2021 17.00;0,67;;
1.7.2021 18.00;1,05;;
1.7.2021 19.00;0,76;;
1.7.2021 20.00;0,78;;
1.7.2021 21.00;0,75;;
1.7.2021 22.00;1,81;;
1.7.2021 23.00;4,12;;
2.7.2021 0.00;3,87;;
2.7.2021 1.00;3,9;;
2.7.2021 2.00;1,28;;
2.7.2021 3.00;0,76;;
2.7.2021 4.00;0,75;;
2.7.2021 5.00;0,73;;
2.7.2021 6.00;1,24;;
2.7.2021 7.00;1,27;;
2.7.2021 8.00;0,79;;
2.7.2021 9.00;0,95;;
2.7.2021 10.00;1,58;;
2.7.2021 11.00;2,65;;
2.7.2021 12.00;0,99;;
2.7.2021 13.00;1,08;;
2.7.2021 14.00;2,02;;
2.7.2021 15.00;1,02;;
2.7.2021 16.00;0,66;;
2.7.2021 17.00;0,63;;
2.7.2021 18.00;1,01;;
2.7.2021 19.00;0,73;;
2.7.2021 20.00;0,71;;
2.7.2021 21.00;1,07;;
2.7.2021 22.00;3,43;;
2.7.2021 23.00;3,62;;
3.7.2021 0.00;3,71;;
3.7.2021 1.00;3,53;;
3.7.2021 2.00;1,72;;
3.7.2021 3.00;0,31;;
3.7.2021 4.00;0,32;;
3.7.2021 5.00;0,34;;
3.7.2021 6.00;0,31;;
3.7.2021 7.00;0,28;;
3.7.2021 8.00;0,64;;
3.7.2021 9.00;1,22;;
3.7.2021 10.00;0,7;;
3.7.2021 11.00;0,68;;
3.7.2021 12.00;0,73;;
3.7.2021 13.00;0,38;;
3.7.2021 14.00;0,43;;
3.7.2021 15.00;0,47;;
3.7.2021 16.00;0,44;;
3.7.2021 17.00;0,7;;
3.7.2021 18.00;1,22;;
3.7.2021 19.00;0,75;;
3.7.2021 20.00;1,14;;
3.7.2021 21.00;1,74;;
3.7.2021 22.00;3,48;;
3.7.2021 23.00;3,48;;
4.7.2021 0.00;3,44;;
4.7.2021 1.00;0,31;;
4.7.2021 2.00;0,32;;
4.7.2021 3.00;0,61;;
4.7.2021 4.00;1,12;;
4.7.2021 5.00;0,4;;
4.7.2021 6.00;0,34;;
4.7.2021 7.00;0,33;;
4.7.2021 8.00;0,37;;
4.7.2021 9.00;0,46;;
4.7.2021 10.00;0,96;;
4.7.2021 11.00;0,83;;
4.7.2021 12.00;0,69;;
4.7.2021 13.00;0,6;;
4.7.2021 14.00;0,52;;
4.7.2021 15.00;0,53;;
4.7.2021 16.00;0,56;;
4.7.2021 17.00;0,69;;
4.7.2021 18.00;1,16;;
4.7.2021 19.00;1,27;;
4.7.2021 20.00;1,45;;
4.7.2021 21.00;1,07;;
4.7.2021 22.00;2,33;;
4.7.2021 23.00;3,42;;
5.7.2021 0.00;3,44;;
5.7.2021 1.00;2,14;;
5.7.2021 2.00;0,62;;
5.7.2021 3.00;1,11;;
5.7.2021 4.00;0,36;;
5.7.2021 5.00;0,31;;
5.7.2021 6.00;0,32;;
5.7.2021 7.00;0,33;;
5.7.2021 8.00;0,49;;
5.7.2021 9.00;0,5;;
5.7.2021 10.00;0,51;;
5.7.2021 11.00;0,71;;
5.7.2021 12.00;1,06;;
5.7.2021 13.00;1,66;;
5.7.2021 14.00;1,24;;
5.7.2021 15.00;0,93;;
5.7.2021 16.00;1,69;;
5.7.2021 17.00;1,57;;
5.7.2021 18.00;1,04;;
5.7.2021 19.00;0,92;;
5.7.2021 20.00;0,8;;
5.7.2021 21.00;0,55;;
5.7.2021 22.00;2,38;;
5.7.2021 23.00;4,3;;
6.7.2021 0.00;4,58;;
6.7.2021 1.00;3,97;;
6.7.2021 2.00;3,43;;
6.7.2021 3.00;1,12;;
6.7.2021 4.00;0,31;;
6.7.2021 5.00;0,31;;
6.7.2021 6.00;0,91;;
6.7.2021 7.00;0,87;;
6.7.2021 8.00;0,59;;
6.7.2021 9.00;0,41;;
6.7.2021 10.00;1,44;;
6.7.2021 11.00;1,22;;
6.7.2021 12.00;0,62;;
6.7.2021 13.00;0,57;;
6.7.2021 14.00;0,74;;
6.7.2021 15.00;0,9;;
6.7.2021 16.00;1,02;;
6.7.2021 17.00;1,02;;
6.7.2021 18.00;0,67;;
6.7.2021 19.00;1,87;;
6.7.2021 20.00;0,76;;
6.7.2021 21.00;0,55;;
6.7.2021 22.00;1,1;;
6.7.2021 23.00;3,48;;
7.7.2021 0.00;3,43;;
7.7.2021 1.00;3,44;;
7.7.2021 2.00;3,44;;
7.7.2021 3.00;0,9;;
7.7.2021 4.00;0,29;;
7.7.2021 5.00;0,3;;
7.7.2021 6.00;0,31;;
7.7.2021 7.00;0,31;;
7.7.2021 8.00;0,31;;
7.7.2021 9.00;0,46;;
7.7.2021 10.00;0,73;;
7.7.2021 11.00;1,18;;
7.7.2021 12.00;1,65;;
7.7.2021 13.00;1,7;;
7.7.2021 14.00;1,21;;
7.7.2021 15.00;1,64;;
7.7.2021 16.00;1,14;;
7.7.2021 17.00;1,1;;
7.7.2021 18.00;1,13;;
7.7.2021 19.00;1,56;;
7.7.2021 20.00;0,68;;
7.7.2021 21.00;0,97;;
7.7.2021 22.00;2,71;;
7.7.2021 23.00;3,68;;
8.7.2021 0.00;3,54;;
8.7.2021 1.00;3,48;;
8.7.2021 2.00;0,39;;
8.7.2021 3.00;0,32;;
8.7.2021 4.00;0,32;;
8.7.2021 5.00;0,32;;
8.7.2021 6.00;0,33;;
8.7.2021 7.00;0,33;;
8.7.2021 8.00;0,5;;
8.7.2021 9.00;1,08;;
8.7.2021 10.00;0,43;;
8.7.2021 11.00;0,13;;
8.7.2021 12.00;0,11;;
8.7.2021 13.00;0,12;;
8.7.2021 14.00;0,12;;
8.7.2021 15.00;0,12;;
8.7.2021 16.00;0,11;;
8.7.2021 17.00;0,11;;
8.7.2021 18.00;0,11;;
8.7.2021 19.00;0,12;;
8.7.2021 20.00;0,12;;
8.7.2021 21.00;0,12;;
8.7.2021 22.00;0,46;;
8.7.2021 23.00;3,21;;
9.7.2021 0.00;0,37;;
9.7.2021 1.00;0,12;;
9.7.2021 2.00;0,12;;
9.7.2021 3.00;0,12;;
9.7.2021 4.00;0,12;;
9.7.2021 5.00;0,12;;
9.7.2021 6.00;0,12;;
9.7.2021 7.00;0,12;;
9.7.2021 8.00;0,11;;
9.7.2021 9.00;0,11;;
9.7.2021 10.00;0,11;;
9.7.2021 11.00;0,11;;
9.7.2021 12.00;0,12;;
9.7.2021 13.00;0,12;;
9.7.2021 14.00;0,12;;
9.7.2021 15.00;0,11;;
9.7.2021 16.00;0,11;;
9.7.2021 17.00;0,11;;
9.7.2021 18.00;0,12;;
9.7.2021 19.00;0,12;;
9.7.2021 20.00;0,12;;
9.7.2021 21.00;0,11;;
9.7.2021 22.00;0,97;;
9.7.2021 23.00;2,19;;
10.7.2021 0.00;0,13;;
10.7.2021 1.00;0,13;;
10.7.2021 2.00;0,13;;
10.7.2021 3.00;0,12;;
10.7.2021 4.00;0,11;;
10.7.2021 5.00;0,11;;
10.7.2021 6.00;0,11;;
10.7.2021 7.00;0,11;;
10.7.2021 8.00;0,11;;
10.7.2021 9.00;0,12;;
10.7.2021 10.00;0,11;;
10.7.2021 11.00;0,11;;
10.7.2021 12.00;0,11;;
10.7.2021 13.00;0,12;;
10.7.2021 14.00;0,12;;
10.7.2021 15.00;0,11;;
10.7.2021 16.00;0,11;;
10.7.2021 17.00;0,12;;
10.7.2021 18.00;0,12;;
10.7.2021 19.00;0,12;;
10.7.2021 20.00;0,11;;
10.7.2021 21.00;0,11;;
10.7.2021 22.00;1,31;;
10.7.2021 23.00;0,45;;
11.7.2021 0.00;0,13;;
11.7.2021 1.00;0,13;;
11.7.2021 2.00;0,12;;
11.7.2021 3.00;0,12;;
11.7.2021 4.00;0,12;;
11.7.2021 5.00;0,12;;
11.7.2021 6.00;0,13;;
11.7.2021 7.00;0,12;;
11.7.2021 8.00;0,12;;
11.7.2021 9.00;0,11;;
11.7.2021 10.00;0,11;;
11.7.2021 11.00;0,12;;
11.7.2021 12.00;0,12;;
11.7.2021 13.00;0,12;;
11.7.2021 14.00;0,11;;
11.7.2021 15.00;0,11;;
11.7.2021 16.00;0,12;;
11.7.2021 17.00;0,13;;
11.7.2021 18.00;0,12;;
11.7.2021 19.00;0,12;;
11.7.2021 20.00;0,11;;
11.7.2021 21.00;0,11;;
11.7.2021 22.00;0,86;;
11.7.2021 23.00;3,03;;
12.7.2021 0.00;0,14;;
12.7.2021 1.00;0,14;;
12.7.2021 2.00;0,12;;
12.7.2021 3.00;0,12;;
12.7.2021 4.00;0,12;;
12.7.2021 5.00;0,12;;
12.7.2021 6.00;0,13;;
12.7.2021 7.00;0,12;;
12.7.2021 8.00;0,12;;
12.7.2021 9.00;0,11;;
12.7.2021 10.00;0,11;;
12.7.2021 11.00;0,11;;
12.7.2021 12.00;0,12;;
12.7.2021 13.00;0,12;;
12.7.2021 14.00;0,12;;
12.7.2021 15.00;0,11;;
12.7.2021 16.00;0,11;;
12.7.2021 17.00;0,11;;
12.7.2021 18.00;0,12;;
12.7.2021 19.00;0,12;;
12.7.2021 20.00;0,12;;
12.7.2021 21.00;0,12;;
12.7.2021 22.00;2,12;;
12.7.2021 23.00;0,12;;
13.7.2021 0.00;0,12;;
13.7.2021 1.00;0,13;;
13.7.2021 2.00;0,13;;
13.7.2021 3.00;0,13;;
13.7.2021 4.00;0,12;;
13.7.2021 5.00;0,12;;
13.7.2021 6.00;0,12;;
13.7.2021 7.00;0,11;;
13.7.2021 8.00;0,12;;
13.7.2021 9.00;0,12;;
13.7.2021 10.00;0,12;;
13.7.2021 11.00;0,11;;
13.7.2021 12.00;0,11;;
13.7.2021 13.00;0,13;;
13.7.2021 14.00;0,13;;
13.7.2021 15.00;0,12;;
13.7.2021 16.00;0,11;;
13.7.2021 17.00;0,12;;
13.7.2021 18.00;0,12;;
13.7.2021 19.00;0,12;;
13.7.2021 20.00;0,12;;
13.7.2021 21.00;0,11;;
13.7.2021 22.00;0,24;;
13.7.2021 23.00;2,62;;
14.7.2021 0.00;0,13;;
14.7.2021 1.00;0,13;;
14.7.2021 2.00;0,13;;
14.7.2021 3.00;0,12;;
14.7.2021 4.00;0,12;;
14.7.2021 5.00;0,12;;
14.7.2021 6.00;0,12;;
14.7.2021 7.00;0,12;;
14.7.2021 8.00;0,12;;
14.7.2021 9.00;0,12;;
14.7.2021 10.00;0,11;;
14.7.2021 11.00;0,11;;
14.7.2021 12.00;0,11;;
14.7.2021 13.00;0,12;;
14.7.2021 14.00;0,12;;
14.7.2021 15.00;0,11;;
14.7.2021 16.00;0,11;;
14.7.2021 17.00;0,11;;
14.7.2021 18.00;0,12;;
14.7.2021 19.00;0,12;;
14.7.2021 20.00;0,12;;
14.7.2021 21.00;0,11;;
14.7.2021 22.00;0,48;;
14.7.2021 23.00;1,4;;
15.7.2021 0.00;0,13;;
15.7.2021 1.00;0,13;;
15.7.2021 2.00;0,12;;
15.7.2021 3.00;0,12;;
15.7.2021 4.00;0,12;;
15.7.2021 5.00;0,12;;
15.7.2021 6.00;0,13;;
15.7.2021 7.00;0,12;;
15.7.2021 8.00;0,12;;
15.7.2021 9.00;0,11;;
15.7.2021 10.00;0,11;;
15.7.2021 11.00;0,11;;
15.7.2021 12.00;0,12;;
15.7.2021 13.00;0,12;;
15.7.2021 14.00;0,12;;
15.7.2021 15.00;0,11;;
15.7.2021 16.00;0,11;;
15.7.2021 17.00;0,11;;
15.7.2021 18.00;0,11;;
15.7.2021 19.00;0,28;;
15.7.2021 20.00;0,12;;
15.7.2021 21.00;0,12;;
15.7.2021 22.00;2,14;;
15.7.2021 23.00;0,65;;
16.7.2021 0.00;0,14;;
16.7.2021 1.00;0,14;;
16.7.2021 2.00;0,13;;
16.7.2021 3.00;0,12;;
16.7.2021 4.00;0,11;;
16.7.2021 5.00;0,11;;
16.7.2021 6.00;0,12;;
16.7.2021 7.00;0,12;;
16.7.2021 8.00;0,12;;
16.7.2021 9.00;0,11;;
16.7.2021 10.00;0,11;;
16.7.2021 11.00;0,11;;
16.7.2021 12.00;0,12;;
16.7.2021 13.00;0,12;;
16.7.2021 14.00;0,11;;
16.7.2021 15.00;0,11;;
16.7.2021 16.00;0,11;;
16.7.2021 17.00;0,12;;
16.7.2021 18.00;0,12;;
16.7.2021 19.00;0,12;;
16.7.2021 20.00;0,11;;
16.7.2021 21.00;0,29;;
16.7.2021 22.00;2,33;;
16.7.2021 23.00;2,73;;
17.7.2021 0.00;2,89;;
17.7.2021 1.00;2,96;;
17.7.2021 2.00;0,76;;
17.7.2021 3.00;0,29;;
17.7.2021 4.00;0,3;;
17.7.2021 5.00;0,31;;
17.7.2021 6.00;0,31;;
17.7.2021 7.00;0,47;;
17.7.2021 8.00;0,99;;
17.7.2021 9.00;0,71;;
17.7.2021 10.00;0,45;;
17.7.2021 11.00;0,97;;
17.7.2021 12.00;0,51;;
17.7.2021 13.00;0,97;;
17.7.2021 14.00;0,8;;
17.7.2021 15.00;1,44;;
17.7.2021 16.00;3,29;;
17.7.2021 17.00;1,9;;
17.7.2021 18.00;0,65;;
17.7.2021 19.00;0,58;;
17.7.2021 20.00;0,56;;
17.7.2021 21.00;0,59;;
17.7.2021 22.00;2,72;;
17.7.2021 23.00;3,49;;
18.7.2021 0.00;3,51;;
18.7.2021 1.00;3,53;;
18.7.2021 2.00;1,14;;
18.7.2021 3.00;0,34;;
18.7.2021 4.00;0,34;;
18.7.2021 5.00;0,32;;
18.7.2021 6.00;0,35;;
18.7.2021 7.00;0,6;;
18.7.2021 8.00;0,98;;
18.7.2021 9.00;1,14;;
18.7.2021 10.00;2,61;;
18.7.2021 11.00;1,4;;
18.7.2021 12.00;0,54;;
18.7.2021 13.00;0,24;;
18.7.2021 14.00;0,29;;
18.7.2021 15.00;0,43;;
18.7.2021 16.00;1,37;;
18.7.2021 17.00;0,52;;
18.7.2021 18.00;0,8;;
18.7.2021 19.00;1,11;;
18.7.2021 20.00;0,38;;
18.7.2021 21.00;0,58;;
18.7.2021 22.00;0,69;;
18.7.2021 23.00;3,7;;
19.7.2021 0.00;3,74;;
19.7.2021 1.00;3,65;;
19.7.2021 2.00;4,38;;
19.7.2021 3.00;0,8;;
19.7.2021 4.00;0,28;;
19.7.2021 5.00;0,26;;
19.7.2021 6.00;0,27;;
19.7.2021 7.00;0,27;;
19.7.2021 8.00;0,34;;
19.7.2021 9.00;1,16;;
19.7.2021 10.00;1,39;;
19.7.2021 11.00;0,78;;
19.7.2021 12.00;0,21;;
19.7.2021 13.00;0,41;;
19.7.2021 14.00;1,17;;
19.7.2021 15.00;0,65;;
19.7.2021 16.00;1,76;;
19.7.2021 17.00;1,24;;
19.7.2021 18.00;0,63;;
19.7.2021 19.00;0,62;;
19.7.2021 20.00;0,46;;
19.7.2021 21.00;0,46;;
19.7.2021 22.00;0,49;;
19.7.2021 23.00;3,49;;
20.7.2021 0.00;3,56;;
20.7.2021 1.00;3,5;;
20.7.2021 2.00;0,42;;
20.7.2021 3.00;0,36;;
20.7.2021 4.00;1,11;;
20.7.2021 5.00;0,48;;
